Food Item (खाद्य पदार्थ),Category (श्रेणी),Calories (per 100g),Protein (g),Carbs (g),Fat (g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects)
Pointed Gourd (परवल),Vegetable,20,2,3,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Seasonal Indian vegetable.
Ivy Gourd (कुंदरू/टिंडली),Vegetable,21,1.4,4,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Common Indian vegetable.
Drumstick (सहजन),Vegetable,37,2.1,8,0.2,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.","Good for joints, digestion."
Drumstick Leaves (सहजन पत्ता),Leafy Vegetable,64,9.4,8,1.4,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Superfood leaves.
Okra (भिंडी),Vegetable,33,2,7,0.2,Sweet (मधुर),Cooling (शीत),"Light, Slimy (लघु, पिच्छिल)",Sweet (मधुर),"Balances P, K. Can increase V.",Good for digestion.
Capsicum (शिमला मिर्च),Vegetable,31,1,6,0.3,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),Light (लघु),Sweet (मधुर),Bala,
Pumpkin (कद्दू),Vegetable,26,1,7,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Good for digestion, nourishing."
Green Peas (हरी मटर),Vegetable,81,5,14,0.4,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Protein-rich legume.
Snow Peas (स्नो पीज़),Vegetable,42,2.8,7,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Light legume.
Cluster Beans (गवार फली),Vegetable,45,3.2,8,0.2,"Astringent, Bitter (कषाय, तिक्त)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P. Increases V, K.",Good for digestion.
French Beans (फ्रेंच बीन्स),Vegetable,31,1.8,7,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Rich in fiber.
Soybeans (सोयाबीन),Legume,446,36,30,20,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Very high in protein.
Kidney Beans (राजमा),Legume,333,24,60,0.8,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Heavy to digest.
Black Gram (उड़द दाल),Legume,341,25,59,1.6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Nourishing, strengthening."
Green Gram (मूंग दाल),Legume,347,24,63,1.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Lightest legume, easy digestion."
Red Lentils (मसूर दाल),Legume,352,26,60,1.1,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances K. Increases V, P.","Good for blood, digestion."
Chickpeas (काबुली चना),Legume,364,19,61,6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Nourishing, grounding."
Black Chickpeas (काला चना),Legume,360,20,60,6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Stronger than white chickpeas.
Pigeon Pea (तूर दाल),Legume,343,22,62,1.5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Staple Indian pulse.
Broad Beans (बकला),Legume,341,26,58,1.5,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Seasonal legume.
Navy Beans (नेवी बीन्स),Legume,337,22,61,0.6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Common in Western diets.
Lima Beans (लाइमा बीन्स),Legume,338,21,63,0.7,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Dense, nourishing bean."
Black Beans (काले बीन्स),Legume,341,21,63,0.9,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in fiber.
Pinto Beans (पिंटो बीन्स),Legume,347,21,63,1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Popular in Latin cuisine.
White Peas (सफेद मटर),Legume,342,23,63,1.5,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases V, K.",Used in Indian chaat.
Lotus Seeds (मखाना),Seed,332,9,77,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Good for insomnia.
Groundnut (मूंगफली),Nut/Seed,567,25,16,49,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",High in protein and fat.
Almond (बादाम),Nut,579,21,22,50,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Nourishing, improves memory."
Walnut (अखरोट),Nut,654,15,14,65,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Good for brain, oily."
Pistachio (पिस्ता),Nut,562,20,28,45,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Strengthening, oily."
Cashew (काजू),Nut,553,18,30,44,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Rich, heavy, oily nut."
Raisins (किशमिश),Dry Fruit,299,3,79,0.5,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases K, V.",Good for anemia.
Prunes (सूखा आलूबुखारा),Dry Fruit,240,2.2,64,0.4,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Can increase V, K.",Natural laxative.
Dates Dry (सूखा खजूर),Dry Fruit,317,2,75,0.2,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Energy dense.
Fig Dry (सूखा अंजीर),Dry Fruit,249,3.3,64,0.9,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Can increase V, K.",Mild laxative.
Coconut Fresh (नारियल),Fruit/Seed,354,3,15,33,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases K, V.","Nourishing, oily."
Coconut Water (नारियल पानी),Liquid,19,0.7,4,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Very hydrating.
Coconut Dry (सूखा नारियल),Nut,660,7,24,65,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Oily, strengthening."
Sesame Seeds (तिल),Seed,573,18,23,50,"Sweet, Bitter (मधुर, तिक्त)",Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.","Strengthening, calcium-rich."
Flax Seeds (अलसी),Seed,534,18,29,42,"Sweet, Bitter (मधुर, तिक्त)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in omega-3.
Sunflower Seeds (सूरजमुखी बीज),Seed,584,21,20,51,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Good for skin.
Pumpkin Seeds (कद्दू बीज),Seed,559,30,11,49,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in zinc.
Chia Seeds (चिया बीज),Seed,486,17,42,31,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases V, K.","Hydrating, rich in omega-3."
Poppy Seeds (खसखस),Seed,525,18,28,42,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases V, K.",Mild sedative.
Mustard Seeds (सरसों दाना),Spice/Seed,508,26,28,36,Pungent (कटु),Heating (उष्ण),Sharp (तीक्ष्ण),Pungent (कटु),"Balances K. Increases V, P.",Stimulates appetite.
Coriander Seeds (धनिया दाना),Spice/Seed,298,12,55,0.5,"Pungent, Bitter (कटु, तिक्त)",Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P. Can increase V, K.",Digestive spice.
Cumin Seeds (जीरा),Spice/Seed,375,18,44,22,Pungent (कटु),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K. Increases V, P.",Improves digestion.
Fennel Seeds (सौंफ),Spice/Seed,345,16,52,14,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Increases K.","Soothing, post-meal digestive."
Carom Seeds (अजवाइन),Spice/Seed,305,16,43,25,Pungent (कटु),Heating (उष्ण),Sharp (तीक्ष्ण),Pungent (कटु),"Balances K. Increases V, P.",Strong carminative.
Fenugreek Seeds (मेथी दाना),Spice/Seed,323,23,58,6,Bitter (तिक्त),Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Helps blood sugar.
Cardamom (इलायची),Spice,311,11,68,7,"Sweet, Pungent (मधुर, कटु)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Aromatic, improves breath."
Cloves (लौंग),Spice,274,6,65,13,Pungent (कटु),Heating (उष्ण),Sharp (तीक्ष्ण),Pungent (कटु),"Balances K. Increases V, P.",Strong antiseptic.
Cinnamon (दालचीनी),Spice,247,4,81,1.2,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.","Warming, stimulates circulation."
Nutmeg (जायफल),Spice,525,6,49,36,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Sedative, promotes sleep."
Mace (जावित्री),Spice,475,7,50,32,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Aromatic, digestive."
Turmeric (हल्दी),Spice,354,8,65,10,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K. Increases V, P.",Anti-inflammatory.
Ginger Dry (सोंठ),Spice,335,9,71,4,Pungent (कटु),Heating (उष्ण),Sharp (तीक्ष्ण),Pungent (कटु),"Balances K. Increases V, P.",Stimulates digestion.
Ginger Fresh (अदरक),Spice,80,1.8,18,0.8,Pungent (कटु),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances K. Increases V, P.","Carminative, warming."
Black Pepper (काली मिर्च),Spice,251,10,64,3.3,Pungent (कटु),Heating (उष्ण),Sharp (तीक्ष्ण),Pungent (कटु),"Balances K. Increases V, P.",Stimulates metabolism.
White Pepper (सफेद मिर्च),Spice,296,11,69,3,Pungent (कटु),Heating (उष्ण),Sharp (तीक्ष्ण),Pungent (कटु),"Balances K. Increases V, P.","Similar to black pepper, milder."
Long Pepper (पीपली),Spice,374,12,70,2.8,Pungent (कटु),Heating (उष्ण),Sharp (तीक्ष्ण),Pungent (कटु),"Balances K. Increases V, P.",Stronger than black pepper.
Asafoetida (हींग),Spice,297,4,67,1,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Strong digestive aid.
Saffron (केसर),Spice,310,11,65,6,"Bitter, Sweet (तिक्त, मधुर)",Heating (उष्ण),Light (लघु),Sweet (मधुर),Balances all doshas.,"Aromatic, promotes complexion."
Basil Seeds (सब्जा बीज),Seed,23,2,5,0.6,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Cooling and hydrating.
Mint Fresh (पुदीना),Herb,70,3.8,15,0.9,Pungent (कटु),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Soothes digestion.
Curry Leaves (कड़ी पत्ता),Herb,108,6,18,1,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Good for hair and eyes.
Coriander Leaves (धनिया पत्ता),Herb,23,2.1,4,0.5,"Bitter, Sweet (तिक्त, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.","Fresh garnish, cooling."
Dill Leaves (सोआ पत्ता),Herb,43,3.5,7,1.1,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Good for digestion.
Spinach (पालक),Leafy Green,23,2.9,4,0.4,Bitter (तिक्त),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Rich in iron.
Fenugreek Leaves (मेथी पत्ता),Leafy Green,49,4.4,6,0.9,Bitter (तिक्त),Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Blood purifier.
Mustard Greens (सरसों का साग),Leafy Green,27,2.9,4,0.4,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Strong flavor.
Amaranth Leaves (चौलाई पत्ता),Leafy Green,23,2.1,4,0.3,"Sweet, Bitter (मधुर, तिक्त)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Nutritious leafy green.
Bathua Leaves (बथुआ),Leafy Green,43,4.2,8,0.4,"Sweet, Bitter (मधुर, तिक्त)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances K. Increases V, P.",Common winter green.
Drumstick Leaves (सहजन पत्ता),Leafy Green,64,9.4,9,1.4,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Highly nutritious.
Beet Greens (चुकंदर पत्ता),Leafy Green,22,2.2,4,0.1,"Bitter, Sweet (तिक्त, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Rich in antioxidants.
Radish Leaves (मूली पत्ता),Leafy Green,25,2.6,4,0.2,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Good for digestion.
Turnip Leaves (शलगम पत्ता),Leafy Green,32,3.7,7,0.3,Bitter (तिक्त),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Nutritious green.
Colocasia Leaves (अरबी पत्ता),Leafy Green,42,3,6,0.7,"Astringent, Bitter (कषाय, तिक्त)",Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances K. Increases V, P.",Needs proper cooking.
Spring Onion Greens (हरी प्याज पत्ता),Leafy Green,32,1.8,7,0.2,Pungent (कटु),Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Adds flavor.
Parsley (अजमोद),Herb,36,3,6,0.8,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Rich in vitamin C.
Celery (अजवाइन पत्ता),Herb,16,0.7,3,0.2,"Bitter, Pungent (तिक्त, कटु)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Low-calorie herb.
Rosemary (रोज़मेरी),Herb,131,3.3,21,6,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Aromatic herb.
Thyme (अजवायन पत्ता),Herb,101,5.6,24,1.7,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Strong aromatic herb.
Oregano (अजवायन),Herb,265,9,69,4.3,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Mediterranean herb.
Sage (साल्विया),Herb,315,11,61,12,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Used for throat issues.
Bay Leaf (तेज पत्ता),Spice/Herb,313,8,75,8,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.","Aromatic, for flavoring."
Neem Leaves (नीम पत्ता),Herb,30,3.1,7,0.3,Bitter (तिक्त),Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P, K. Can increase V.",Blood purifier.
Tulsi Leaves (तुलसी),Herb,23,3.2,2,0.6,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.","Sacred herb, boosts immunity."
Green Tea Leaves (हरी चाय पत्ता),Herb/Tea,1,0.2,0,0,Bitter (तिक्त),Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P. Increases V, K.",Rich in antioxidants.
Black Tea Leaves (काली चाय पत्ता),Herb/Tea,1,0.1,0,0,Bitter (तिक्त),Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Stimulating.
Coffee Beans (कॉफी बीन्स),Beverage/Seed,2,0.1,0,0,Bitter (तिक्त),Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.","Stimulating, caffeine-rich."
Cocoa Beans (कोको बीन्स),Seed,228,20,58,14,"Bitter, Astringent (तिक्त, कषाय)",Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances K. Increases V, P.","Used in chocolate, antioxidant-rich."
Dark Chocolate (डार्क चॉकलेट),Sweet,546,5,61,31,"Bitter, Sweet (तिक्त, मधुर)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Mood-enhancer.
Milk Chocolate (मिल्क चॉकलेट),Sweet,535,7,59,30,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Sweet, energy-rich."
Jaggery (गुड़),Sweet,383,0.4,98,0.1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Blood purifier, energizing."
Brown Sugar (ब्राउन शुगर),Sweet,380,0,98,0,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Milder than white sugar.
White Sugar (सफेद शक्कर),Sweet,387,0,100,0,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Highly processed.
Honey (शहद),Sweet,304,0.3,82,0,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances K, V. Increases P.","Antibacterial, boosts immunity."
Maple Syrup (मेपल सिरप),Sweet,260,0,67,0,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Natural sweetener.
Molasses (गुड़ का सिरका),Sweet,290,0,75,0,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Rich in minerals.
Coconut Sugar (नारियल शुगर),Sweet,375,0,92,0,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Low glycemic index.
Palm Sugar (ताड़ शुगर),Sweet,386,0,95,0,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Traditional sweetener.
Agave Syrup (एगेव सिरप),Sweet,310,0,76,0,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Used as sugar substitute.
Stevia (स्टीविया),Sweetener,0,0,0,0,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Natural zero-calorie sweetener.
Barley (जौ),Grain,354,12,73,2.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Good for digestion.
Wheat (गेहूं),Grain,327,13,71,1.5,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.",Staple grain.
Rice White (चावल सफेद),Grain,130,2.7,28,0.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Increases K.",Easily digestible.
Rice Brown (चावल भूरा),Grain,111,2.6,23,0.9,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.",Higher fiber content.
Oats (जई),Grain,389,17,66,7,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Good for heart health.
Millet Pearl (बाजरा),Grain,378,11,73,4.2,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Warming grain.
Millet Finger (रागी),Grain,336,7,72,1.5,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases V, K.",Rich in calcium.
Millet Foxtail (कंगनी),Grain,351,12,65,4,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V. Increases P, K.",Easily digestible millet.
Millet Barnyard (साँवा),Grain,300,11,55,4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Fasting grain.
Millet Kodo (कोदो),Grain,353,8,66,3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Traditional millet.
Millet Little (कुटकी),Grain,329,9,68,4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.","Light, good for fasting."
Quinoa (क्विनोआ),Pseudo-grain,368,14,64,6,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",High protein content.
Buckwheat (कूटू),Pseudo-grain,343,13,71,3.4,"Sweet, Bitter (मधुर, तिक्त)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V. Increases P, K.",Used in fasting.
Sorghum (ज्वार),Grain,329,11,72,3.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Gluten-free grain.
Corn (मक्का),Grain,365,9,74,4.7,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Energizing.
Popcorn (पॉपकॉर्न),Snack,375,12,78,4.3,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V. Increases P, K.",Light snack.
Rice Noodles (चावल नूडल्स),Grain Product,364,6,80,0.9,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Increases K.,Easy to digest.
Wheat Noodles (गेहूं नूडल्स),Grain Product,371,12,75,1.3,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Increases K.,Filling.
Vermicelli (सेवई),Grain Product,360,9,74,1.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Increases K.,Used in sweets and savory dishes.
Poha (पोहा),Flattened Rice,350,6,76,1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Increases K.,Light breakfast dish.
Puffed Rice (मुरमुरा),Snack,402,7,90,0.6,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Increases K.,"Very light, easily digested."
Broken Wheat (दलिया),Grain Product,342,12,72,1.3,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Increases K.,Wholesome breakfast.
Semolina (सूजी),Grain Product,360,12,72,1.1,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),Balances V. Increases K.,"Used in halwa, upma."
Whole Wheat Flour (आटा),Flour,340,13,72,2.5,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Balances V. Increases K.,Staple flour.
Refined Flour (मैदा),Flour,364,10,76,1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Increases K, P. Aggravates V.",Less nutritious.
Rice Flour (चावल का आटा),Flour,366,6,80,1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Increases K.,Gluten-free.
Barley Flour (जौ का आटा),Flour,345,12,73,2.5,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Good for digestion.
Gram Flour (बेसन),Flour,387,22,58,6,"Pungent, Astringent (कटु, कषाय)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases P, V.",Used in pakoras.
Soya Flour (सोया आटा),Flour,372,36,30,20,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances V. Increases P, K.",High protein flour.
Millet Flour (बाजरा आटा),Flour,350,11,70,4,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Nutritious, warming."
Ragi Flour (रागी आटा),Flour,336,7,72,1.5,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases V, K.",Rich in calcium.
Dry Ginger (सोंठ),Spice,335,9,71,5,Pungent (कटु),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances K. Increases P, V.",Good for digestion.
Black Pepper (काली मिर्च),Spice,255,10,64,3.3,Pungent (कटु),Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases P, V.",Stimulates appetite.
Cloves (लौंग),Spice,274,6,65,13,Pungent (कटु),Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.",Antimicrobial.
Cinnamon (दालचीनी),Spice,247,4,81,1.2,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases P, V.",Improves metabolism.
Cardamom (इलायची),Spice,311,11,68,7,"Sweet, Pungent (मधुर, कटु)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Freshens breath.
Nutmeg (जायफल),Spice,525,6,49,36,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances V. Increases P, K.",Calming effect.
Mace (जावित्री),Spice,475,6,50,32,Pungent (कटु),Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases P, V.",Enhances aroma.
Turmeric (हल्दी),Spice,354,8,65,10,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases P, V.",Anti-inflammatory.
Coriander Seeds (धनिया बीज),Spice,298,12,55,17,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Soothes digestion.
Cumin Seeds (जीरा),Spice,375,18,44,22,Pungent (कटु),Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases P, V.",Aids digestion.
Fennel Seeds (सौंफ),Spice,345,16,52,14,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Increases K.,Carminative.
